ID,xmlid,type,label,uri
176,p71_3,paragraph,"71,3",https://digitalzibaldone.net/paragraph/p71_3
177,p72_1,paragraph,"72,1",https://digitalzibaldone.net/paragraph/p72_1
178,p72_2,paragraph,"72,2",https://digitalzibaldone.net/paragraph/p72_2
179,p72_3,paragraph,"72,3",https://digitalzibaldone.net/paragraph/p72_3
180,p72_4,paragraph,"72,4",https://digitalzibaldone.net/paragraph/p72_4
181,p73_1,paragraph,"73,1",https://digitalzibaldone.net/paragraph/p73_1
182,p73_2,paragraph,"73,2",https://digitalzibaldone.net/paragraph/p73_2
183,p73_3,paragraph,"73,3",https://digitalzibaldone.net/paragraph/p73_3
184,p74_1,paragraph,"74,1",https://digitalzibaldone.net/paragraph/p74_1
185,p74_2,paragraph,"74,2",https://digitalzibaldone.net/paragraph/p74_2
186,p75_1,paragraph,"75,1",https://digitalzibaldone.net/paragraph/p75_1
187,p76_1,paragraph,"76,1",https://digitalzibaldone.net/paragraph/p76_1
188,p76_2,paragraph,"76,2",https://digitalzibaldone.net/paragraph/p76_2
189,p76_3,paragraph,"76,3",https://digitalzibaldone.net/paragraph/p76_3
190,p76_4,paragraph,"76,4",https://digitalzibaldone.net/paragraph/p76_4
191,p79_1,paragraph,"79,1",https://digitalzibaldone.net/paragraph/p79_1
192,p80_1,paragraph,"80,1",https://digitalzibaldone.net/paragraph/p80_1
193,p80_2,paragraph,"80,2",https://digitalzibaldone.net/paragraph/p80_2
194,p82_1,paragraph,"82,1",https://digitalzibaldone.net/paragraph/p82_1
195,p82_2,paragraph,"82,2",https://digitalzibaldone.net/paragraph/p82_2
196,p83_1,paragraph,"83,1",https://digitalzibaldone.net/paragraph/p83_1
197,p83_2,paragraph,"83,2",https://digitalzibaldone.net/paragraph/p83_2
198,p84_1,paragraph,"84,1",https://digitalzibaldone.net/paragraph/p84_1
199,p84_2,paragraph,"84,2",https://digitalzibaldone.net/paragraph/p84_2
200,p85_1,paragraph,"85,1",https://digitalzibaldone.net/paragraph/p85_1
201,p85_2,paragraph,"85,2",https://digitalzibaldone.net/paragraph/p85_2
202,p85_3,paragraph,"85,3",https://digitalzibaldone.net/paragraph/p85_3
203,p85_4,paragraph,"85,4",https://digitalzibaldone.net/paragraph/p85_4
204,p85_5,paragraph,"85,5",https://digitalzibaldone.net/paragraph/p85_5
205,p86_1,paragraph,"86,1",https://digitalzibaldone.net/paragraph/p86_1
206,p87_1,paragraph,"87,1",https://digitalzibaldone.net/paragraph/p87_1
207,p88_1,paragraph,"88,1",https://digitalzibaldone.net/paragraph/p88_1
208,p88_2,paragraph,"88,2",https://digitalzibaldone.net/paragraph/p88_2
209,p90_1,paragraph,"90,1",https://digitalzibaldone.net/paragraph/p90_1
210,p92_1,paragraph,"92,1",https://digitalzibaldone.net/paragraph/p92_1
211,p94_1,paragraph,"94,1",https://digitalzibaldone.net/paragraph/p94_1
212,p95_1,paragraph,"95,1",https://digitalzibaldone.net/paragraph/p95_1
213,p95_2,paragraph,"95,2",https://digitalzibaldone.net/paragraph/p95_2
214,p96_1,paragraph,"96,1",https://digitalzibaldone.net/paragraph/p96_1
215,p97_1,paragraph,"97,1",https://digitalzibaldone.net/paragraph/p97_1
216,p97_2,paragraph,"97,2",https://digitalzibaldone.net/paragraph/p97_2
217,p99_1,paragraph,"99,1",https://digitalzibaldone.net/paragraph/p99_1
218,p99_2,paragraph,"99,2",https://digitalzibaldone.net/paragraph/p99_2
219,p100_1,paragraph,"100,1",https://digitalzibaldone.net/paragraph/p100_1
220,p101_1,paragraph,"101,1",https://digitalzibaldone.net/paragraph/p101_1
221,p102_1,paragraph,"102,1",https://digitalzibaldone.net/paragraph/p102_1
222,p102_2,paragraph,"102,2",https://digitalzibaldone.net/paragraph/p102_2
223,p104_1,paragraph,"104,1",https://digitalzibaldone.net/paragraph/p104_1
224,p105_1,paragraph,"105,1",https://digitalzibaldone.net/paragraph/p105_1
225,p105_2,paragraph,"105,2",https://digitalzibaldone.net/paragraph/p105_2
226,p105_3,paragraph,"105,3",https://digitalzibaldone.net/paragraph/p105_3
227,p105_4,paragraph,"105,4",https://digitalzibaldone.net/paragraph/p105_4
228,p106_1,paragraph,"106,1",https://digitalzibaldone.net/paragraph/p106_1
229,p106_2,paragraph,"106,2",https://digitalzibaldone.net/paragraph/p106_2
230,p106_3,paragraph,"106,3",https://digitalzibaldone.net/paragraph/p106_3
231,p106_4,paragraph,"106,4",https://digitalzibaldone.net/paragraph/p106_4
232,p106_5,paragraph,"106,5",https://digitalzibaldone.net/paragraph/p106_5
233,p107_1,paragraph,"107,1",https://digitalzibaldone.net/paragraph/p107_1
234,p107_2,paragraph,"107,2",https://digitalzibaldone.net/paragraph/p107_2
235,p107_3,paragraph,"107,3",https://digitalzibaldone.net/paragraph/p107_3
236,p107_4,paragraph,"107,4",https://digitalzibaldone.net/paragraph/p107_4
237,p108_1,paragraph,"108,1",https://digitalzibaldone.net/paragraph/p108_1
238,p109_1,paragraph,"109,1",https://digitalzibaldone.net/paragraph/p109_1
239,p109_2,paragraph,"109,2",https://digitalzibaldone.net/paragraph/p109_2
240,p109_3,paragraph,"109,3",https://digitalzibaldone.net/paragraph/p109_3
241,p109_4,paragraph,"109,4",https://digitalzibaldone.net/paragraph/p109_4
242,p111_1,paragraph,"111,1",https://digitalzibaldone.net/paragraph/p111_1
243,p112_1,paragraph,"112,1",https://digitalzibaldone.net/paragraph/p112_1
244,p112_2,paragraph,"112,2",https://digitalzibaldone.net/paragraph/p112_2
245,p112_3,paragraph,"112,3",https://digitalzibaldone.net/paragraph/p112_3
246,p112_4,paragraph,"112,4",https://digitalzibaldone.net/paragraph/p112_4
247,p112_5,paragraph,"112,5",https://digitalzibaldone.net/paragraph/p112_5
248,p113_1,paragraph,"113,1",https://digitalzibaldone.net/paragraph/p113_1
249,p113_2,paragraph,"113,2",https://digitalzibaldone.net/paragraph/p113_2
250,p113_3,paragraph,"113,3",https://digitalzibaldone.net/paragraph/p113_3
251,p114_1,paragraph,"114,1",https://digitalzibaldone.net/paragraph/p114_1
252,p114_2,paragraph,"114,2",https://digitalzibaldone.net/paragraph/p114_2
253,p115_1,paragraph,"115,1",https://digitalzibaldone.net/paragraph/p115_1
254,p115_2,paragraph,"115,2",https://digitalzibaldone.net/paragraph/p115_2
255,p116_1,paragraph,"116,1",https://digitalzibaldone.net/paragraph/p116_1
256,p116_2,paragraph,"116,2",https://digitalzibaldone.net/paragraph/p116_2
257,p116_3,paragraph,"116,3",https://digitalzibaldone.net/paragraph/p116_3
258,p116_4,paragraph,"116,4",https://digitalzibaldone.net/paragraph/p116_4
259,p117_1,paragraph,"117,1",https://digitalzibaldone.net/paragraph/p117_1
260,p117_2,paragraph,"117,2",https://digitalzibaldone.net/paragraph/p117_2
